strategy,base_regime,overlay_col,overlay_state,count,annual_return,annual_vol,sharpe,max_drawdown,VaR(95%),skew
Benchmark(0050.TW),Bear High Vol,high_corr,False,48,1.554648427604545,0.25360425055737384,6.130214395806552,-0.10927699445710282,0.022317286936828395,0.5418136680541947
Benchmark(0050.TW),Bear High Vol,high_corr,True,114,-0.4408614807229638,0.3351056915814732,-1.3155893552341489,-0.33655277504652104,0.024137440877828886,0.1669891977014191
Benchmark(0050.TW),Bear High Vol,strong_breadth,False,140,-0.2988903765623925,0.3194812567827909,-0.9355490195958577,-0.2941528391875574,0.025386434748536385,0.06025135735256845
Benchmark(0050.TW),Bear High Vol,strong_breadth,True,22,2.645660828720329,0.27795526513657753,9.518297224628371,-0.043092509842628024,0.017979334545615067,1.2771268133441704
Benchmark(0050.TW),Bear Low Vol,high_corr,False,52,-0.001323908438547905,0.1957375678319116,-0.0067636910645829775,-0.08038987410184228,0.020072006264177066,-0.35739222991087505
Benchmark(0050.TW),Bear Low Vol,high_corr,True,55,-0.412803273411703,0.1932946804973099,-2.135616315718776,-0.16130740584540282,0.02090187722407264,0.2811278398658176
Benchmark(0050.TW),Bear Low Vol,strong_breadth,False,52,-0.5435585129199141,0.1969094834320162,-2.760448625662968,-0.18757142147843597,0.022086058227265865,-0.21643846842660006
Benchmark(0050.TW),Bear Low Vol,strong_breadth,True,55,0.23104961269047575,0.18857241459874524,1.2252566908161824,-0.06487791523585007,0.01728568569702131,0.21041849358458728
Benchmark(0050.TW),Bull High Vol,high_corr,False,143,0.444174787402003,0.2536745746820572,1.7509629727721396,-0.17175076820486546,0.02602292059868607,-0.5533085918311165
Benchmark(0050.TW),Bull High Vol,high_corr,True,71,0.7220575758762169,0.2964453922816447,2.4357186675049065,-0.10363484454722971,0.02184432959990245,-1.5180735422672618
Benchmark(0050.TW),Bull High Vol,strong_breadth,False,58,-0.5054133632602325,0.37114110879760714,-1.3617822205080694,-0.20221481471099578,0.049125553481138264,-1.0820225434415274
Benchmark(0050.TW),Bull High Vol,strong_breadth,True,156,1.3303930660778405,0.21349718864663406,6.231431310694288,-0.10422710362420318,0.01864226911346219,0.15223334826414098
Benchmark(0050.TW),Bull Low Vol,high_corr,False,415,0.3904559744904572,0.1549003238551222,2.520691789228598,-0.07027489825056243,0.013891060627479886,0.23499591339677056
Benchmark(0050.TW),Bull Low Vol,high_corr,True,71,0.013487431595093469,0.15071973151711926,0.08948683400196689,-0.0579866878534393,0.014091905505866807,0.22037552689653103
Benchmark(0050.TW),Bull Low Vol,strong_breadth,False,128,-0.4603142060570107,0.1482036091178468,-3.1059581395955305,-0.27225591190700393,0.01621888888437005,0.07738022407322048
Benchmark(0050.TW),Bull Low Vol,strong_breadth,True,358,0.8317878635149805,0.15154897697762107,5.488574585612735,-0.05302138503666298,0.01176743162985595,0.308451431640939
Benchmark(SPY),Bear High Vol,high_corr,False,46,0.9626218810730724,0.22029946840890086,4.3696060096084155,-0.057129441321543295,0.011729152076512372,1.2345379645615937
Benchmark(SPY),Bear High Vol,high_corr,True,110,0.07681316587613818,0.31178950141815204,0.24636225891750377,-0.1653602141855831,0.030875131675956586,1.1403401010594791
Benchmark(SPY),Bear High Vol,strong_breadth,False,135,0.333845253038179,0.301839170265683,1.1060368763415425,-0.15582156941720982,0.029140712644183574,1.086812729910498
Benchmark(SPY),Bear High Vol,strong_breadth,True,21,0.012876802287466571,0.17434484998520733,0.07385823147950245,-0.03561614323619566,0.015957008238070003,0.8856874444465322
Benchmark(SPY),Bear Low Vol,high_corr,False,51,0.49499875842046404,0.16754136016870297,2.9544869274191954,-0.04268838878432979,0.015144411166151221,0.34808426678745047
Benchmark(SPY),Bear Low Vol,high_corr,True,53,-0.4780156214059088,0.2610523526727335,-1.8311101835008925,-0.1667798506985737,0.030916112416640572,-0.250096584820604
Benchmark(SPY),Bear Low Vol,strong_breadth,False,51,-0.04193341630301595,0.259904066722288,-0.16134190138633933,-0.11240703391983486,0.02819998213082991,-0.3606170758174305
Benchmark(SPY),Bear Low Vol,strong_breadth,True,53,-0.19904083358814062,0.179504570129756,-1.1088343513720162,-0.1287220836444667,0.018439471981873803,-0.2504714098188122
Benchmark(SPY),Bull High Vol,high_corr,False,138,0.3984600740929607,0.11755675395693142,3.3895123902361424,-0.08294521067619964,0.01112644102017777,-0.15725058064558478
Benchmark(SPY),Bull High Vol,high_corr,True,70,0.3668372167350562,0.1527719069977333,2.4012085987805274,-0.04287222017031378,0.0153242394700363,-0.5083662345452371
Benchmark(SPY),Bull High Vol,strong_breadth,False,57,0.720421687159503,0.1783933927847128,4.038387722290344,-0.04719987554902516,0.017187775946767056,-0.5031396274127398
Benchmark(SPY),Bull High Vol,strong_breadth,True,151,0.2796094999169543,0.10665127523477123,2.621717361573506,-0.05034330032844825,0.011425857783878328,-0.28468393090118504
Benchmark(SPY),Bull Low Vol,high_corr,False,397,0.06173850130407721,0.13141999607239185,0.4697801183167663,-0.18939660836461736,0.014806499835059495,-0.3127564030331415
Benchmark(SPY),Bull Low Vol,high_corr,True,68,0.29782042037761536,0.11881629348319486,2.5065621191064884,-0.03409521441436414,0.010658384376650253,-0.29102397053281154
Benchmark(SPY),Bull Low Vol,strong_breadth,False,125,-0.374057957273619,0.16065359963372222,-2.3283509247626086,-0.21893578171786843,0.017748637877044372,-0.12881244166113398
Benchmark(SPY),Bull Low Vol,strong_breadth,True,340,0.3422267400940211,0.1137537529744419,3.0084874665270367,-0.07095518905887843,0.011423469839832185,-0.16729094436887423
Cross_sectional_momentum_1M,Bear High Vol,high_corr,False,48,0.23120281791733932,0.1026372598446076,2.2526207175384405,-0.04144192197008567,0.01008908911508965,-0.6904286970197717
Cross_sectional_momentum_1M,Bear High Vol,high_corr,True,114,-0.35420787351553096,0.20506353245023012,-1.7273079678440577,-0.2071604753634575,0.01841859897881643,-0.8721174819430307
Cross_sectional_momentum_1M,Bear High Vol,strong_breadth,False,140,-0.2657381023014117,0.1916146498420665,-1.3868360405659983,-0.19496684954973809,0.018396972258456764,-0.989873424824804
Cross_sectional_momentum_1M,Bear High Vol,strong_breadth,True,22,0.16598618721296265,0.09290066518956838,1.7867061217942806,-0.021998939809021456,0.009140940462896202,0.37013453733285084
